MatchID,Round,Turno,Player 1,Player 2
1,1,1,Francesco,Bruno
2,1,1,Raffaele,Alessandro
3,1,1,Carmine,Danilo
4,1,1,Stefania,Guglielmo
5,1,1,Milena,Federico
6,1,2,Francesco,Alessandro
7,1,2,Bruno,Danilo
8,1,2,Raffaele,Guglielmo
9,1,2,Carmine,Federico
10,1,2,Stefania,Milena
11,1,3,Francesco,Danilo
12,1,3,Alessandro,Guglielmo
13,1,3,Bruno,Federico
14,1,3,Raffaele,Milena
15,1,3,Carmine,Stefania
16,1,4,Francesco,Guglielmo
17,1,4,Danilo,Federico
18,1,4,Alessandro,Milena
19,1,4,Bruno,Stefania
20,1,4,Raffaele,Carmine
21,1,5,Francesco,Federico
22,1,5,Guglielmo,Milena
23,1,5,Danilo,Stefania
24,1,5,Alessandro,Carmine
25,1,5,Bruno,Raffaele
26,1,6,Francesco,Milena
27,1,6,Federico,Stefania
28,1,6,Guglielmo,Carmine
29,1,6,Danilo,Raffaele
30,1,6,Alessandro,Bruno
31,1,7,Francesco,Stefania
32,1,7,Milena,Carmine
33,1,7,Federico,Raffaele
34,1,7,Guglielmo,Bruno
35,1,7,Danilo,Alessandro
36,1,8,Francesco,Carmine
37,1,8,Stefania,Raffaele
38,1,8,Milena,Bruno
39,1,8,Federico,Alessandro
40,1,8,Guglielmo,Danilo
41,1,9,Francesco,Raffaele
42,1,9,Carmine,Bruno
43,1,9,Stefania,Alessandro
44,1,9,Milena,Danilo
45,1,9,Federico,Guglielmo
